item,state,piece,gr/pack,kcal,fat,sat_fat,carb,sugar,fiber,protein,salt,price_per_pack
pane integrale,de,1,12,101,"4,00","0,5",6,"0,7","3,8","8,8","0,41",
riso integrale,de,0,500,"3,51","0,02","0,006","0,74","0,007","0,022","0,078",0,
chia,de,0,500,"4,53","0,32","0,035","0,052","0,005","0,3","0,21","0,0003",
fette toast,de,1,500,"62,5","1,00","0,1","10,5","0,8","1,5","2,15","0,025",
pasta,de,0,500,"3,48","0,00","0,004","0,658","0,028","0,062","0,14","0,0001",
tonno scatola,de,1,52,63,"0,60","0,2",0,0,0,14,"0,48",
schocokreme,de,0,400,"6,06","0,43","0,06","0,44","0,38","0,053","0,082","0,0001",
bastoncini,de,1,15,"61,4","2,60","0,2","5,4","0,26","0,24",4,"0,22",
skyr,de,1,4,81,"0,30","0,1","5,5","5,5",0,13,"0,9",
salmone affumicato,de,1,100,110,"2,40","0,6","0,5","0,5",0,22,"2,4",
feta greca,de,1,150,144,"12,00","8,5","0,25","0,25",0,9,"1,2",
hummus di ceci,de,0,200,307,"23,00","2,1",15,"3,4",0,8,1,
olio evo,de,0,500,"8,84","1,00","0,14",0,0,0,0,0,
uova,de,1,6,74,"4,97","1,55","0,38","0,38",0,"6,29","0,07",
